"","suiteid","gname","Ts","qry","qps","qsucc","qtotalTime","qtimeouts","qfailed","dstype"
"207",123,"seed321prdrotatednt","Virtuoso","sparql0",532.100396301189,4028,7570,0,0,"rot"
"208",123,"seed321prdrotatednt","Virtuoso","sparql7",3.87014082585423,4028,1040789,0,0,"rot"
"209",125,"swfcTboxsf1R100i270reconnt","Virtuoso","sparql6",50.1892915089237,464,9245,0,0,"rec"
"210",125,"swfcTboxsf1R100i270reconnt","Virtuoso","sparql5",0.178346162213522,464,2601682,0,0,"rec"
"211",125,"swfcTboxsf1R100i270reconnt","Virtuoso","sparql4",1.64446287376975,464,282159,0,0,"rec"
"212",125,"swfcTboxsf1R100i270reconnt","Virtuoso","sparql3",3.36546481856228,464,137871,0,0,"rec"
"213",125,"swfcTboxsf1R100i270reconnt","Virtuoso","sparql2",221.903395504543,464,2091,0,0,"rec"
"214",125,"swfcTboxsf1R100i270reconnt","Virtuoso","sparql1",3.31582520455926,464,139935,0,0,"rec"
"215",125,"swfcTboxsf1R100i270reconnt","Virtuoso","sparql0",299.548095545513,464,1549,0,0,"rec"
"216",125,"swfcTboxsf1R100i270reconnt","Virtuoso","sparql7",1.09729507305053,464,422858,0,0,"rec"
"217",126,"swfcTboxorgnt","hdt","sparql6",9.44003432739756,44,4661,0,0,"org"
"218",126,"swfcTboxorgnt","hdt","sparql5",0.0166618574487212,44,2640762,0,0,"org"
"219",126,"swfcTboxorgnt","hdt","sparql4",33.4600760456274,44,1315,0,0,"org"
"220",126,"swfcTboxorgnt","hdt","sparql3",0.0508694043655198,44,864960,0,0,"org"
"221",126,"swfcTboxorgnt","hdt","sparql2",141.935483870968,44,310,0,0,"org"
"222",126,"swfcTboxorgnt","hdt","sparql1",7.43494423791822,44,5918,0,0,"org"
"223",126,"swfcTboxorgnt","hdt","sparql0",108.108108108108,44,407,0,0,"org"
"224",126,"swfcTboxorgnt","hdt","sparql7",1.406604648189,44,31281,0,0,"org"
"225",127,"seed123prdrotatednt","hdt","sparql6",2.29895843107816,49,21314,0,0,"rot"
"226",127,"seed123prdrotatednt","hdt","sparql5",0.0166634530007308,49,2940567,0,0,"rot"
"227",127,"seed123prdrotatednt","hdt","sparql4",32.0261437908497,49,1530,0,0,"rot"
"228",127,"seed123prdrotatednt","hdt","sparql3",0.0904170810782883,49,541933,0,0,"rot"
"229",127,"seed123prdrotatednt","hdt","sparql2",139.60113960114,49,351,0,0,"rot"
"230",127,"seed123prdrotatednt","hdt","sparql1",8.2256169212691,49,5957,0,0,"rot"
"231",127,"seed123prdrotatednt","hdt","sparql0",147.147147147147,49,333,0,0,"rot"
"232",127,"seed123prdrotatednt","hdt","sparql7",1.11020482146094,49,44136,0,0,"rot"
"233",128,"seed159prdrotatednt","hdt","sparql6",1.77968256274289,49,27533,0,0,"rot"
"234",128,"seed159prdrotatednt","hdt","sparql5",0.0165689381102822,49,2957341,0,0,"rot"
"235",128,"seed159prdrotatednt","hdt","sparql4",45.0367647058823,49,1088,0,0,"rot"
"236",128,"seed159prdrotatednt","hdt","sparql3",0.0930359726436267,49,526678,0,0,"rot"
"237",128,"seed159prdrotatednt","hdt","sparql2",148.036253776435,49,331,0,0,"rot"
"238",128,"seed159prdrotatednt","hdt","sparql1",8.77664338169443,49,5583,0,0,"rot"
"239",128,"seed159prdrotatednt","hdt","sparql0",145.40059347181,49,337,0,0,"rot"
"240",128,"seed159prdrotatednt","hdt","sparql7",1.54911321172268,49,31631,0,0,"rot"
"241",129,"seed1prdrotatednt","hdt","sparql6",2.12960146029814,49,23009,0,0,"rot"
"242",129,"seed1prdrotatednt","hdt","sparql5",0.0164182815219278,49,2984478,0,0,"rot"
"243",129,"seed1prdrotatednt","hdt","sparql4",32.3432343234323,49,1515,0,0,"rot"
"244",129,"seed1prdrotatednt","hdt","sparql3",0.0937610623702414,49,522605,0,0,"rot"
"245",129,"seed1prdrotatednt","hdt","sparql2",148.484848484848,49,330,0,0,"rot"
"246",129,"seed1prdrotatednt","hdt","sparql1",8.70337477797513,49,5630,0,0,"rot"
"247",129,"seed1prdrotatednt","hdt","sparql0",148.036253776435,49,331,0,0,"rot"
"248",129,"seed1prdrotatednt","hdt","sparql7",1.52027551115386,49,32231,0,0,"rot"
"249",130,"seed321prdrotatednt","hdt","sparql6",2.0538184256853,49,23858,0,0,"rot"
"250",130,"seed321prdrotatednt","hdt","sparql5",0.0165990959251591,49,2951968,0,0,"rot"
"251",130,"seed321prdrotatednt","hdt","sparql4",34.6320346320346,48,1386,0,0,"rot"
"252",130,"seed321prdrotatednt","hdt","sparql3",0.0852177402030668,48,563263,0,0,"rot"
"253",130,"seed321prdrotatednt","hdt","sparql2",134.246575342466,49,365,0,0,"rot"
"254",130,"seed321prdrotatednt","hdt","sparql1",7.98956465025273,49,6133,0,0,"rot"
"255",130,"seed321prdrotatednt","hdt","sparql0",121.287128712871,49,404,0,0,"rot"
"256",130,"seed321prdrotatednt","hdt","sparql7",1.07225699155324,49,45698,0,0,"rot"
"257",131,"seed333prdrotatednt","hdt","sparql6",1.25084692760723,48,38374,0,0,"rot"
"258",131,"seed333prdrotatednt","hdt","sparql5",0.0164860527993318,48,2911552,0,0,"rot"
"259",131,"seed333prdrotatednt","hdt","sparql4",38.7096774193548,48,1240,0,0,"rot"
"260",131,"seed333prdrotatednt","hdt","sparql3",0.0822505110669776,48,583583,0,0,"rot"
"261",131,"seed333prdrotatednt","hdt","sparql2",145.896656534954,48,329,0,0,"rot"
"262",131,"seed333prdrotatednt","hdt","sparql1",8.28729281767956,48,5792,0,0,"rot"
"263",131,"seed333prdrotatednt","hdt","sparql0",35.6083086053412,48,1348,0,0,"rot"
"264",131,"seed333prdrotatednt","hdt","sparql7",1.3952677169932,48,34402,0,0,"rot"
"265",132,"swfcTboxsf1R100i270reconnt","hdt","sparql6",6.89655172413793,47,6815,0,0,"rec"
"266",132,"swfcTboxsf1R100i270reconnt","hdt","sparql5",0.0166610716188571,47,2820947,0,0,"rec"
"267",132,"swfcTboxsf1R100i270reconnt","hdt","sparql4",36.5950676213206,46,1257,0,0,"rec"
"268",132,"swfcTboxsf1R100i270reconnt","hdt","sparql3",0.0727964437354704,46,631899,0,0,"rec"
"269",132,"swfcTboxsf1R100i270reconnt","hdt","sparql2",118.387909319899,47,397,0,0,"rec"
"270",132,"swfcTboxsf1R100i270reconnt","hdt","sparql1",6.75578553974414,47,6957,0,0,"rec"
"271",132,"swfcTboxsf1R100i270reconnt","hdt","sparql0",132.768361581921,47,354,0,0,"rec"
